562		
#1 15		
80000	20	31
90000	30	42
100000	32	49
105000	35	53
115000	35	53
125000	37	53
135000	40	55
145000	40	56
155000	41	56
175000	41	56
195000	51	57
215000	59	85
225000	63	102
235000	68	160
245000	72	200
#2 6		
175000	28	46
195000	42	78
215000	64	126
225000	72	173
235000	92	236
245000	118	312
#3 6		
175000	15	28
195000	20	35
215000	36	69
225000	43	84
235000	51	96
245000	53	116
#4 9		
135000	18	34
145000	22	36
155000	26	54
175000	31	66
195000	40	118
215000	69	210
225000	86	268
235000	96	316
245000	128	423
#5 4		
215000	26	43
225000	34	62
235000	41	68
245000	47	74
#6 5		
195000	16	28
215000	34	65
225000	43	83
235000	51	90
245000	59	91
#7 6		
175000	31	42
195000	38	98
215000	50	114
225000	59	156
235000	76	179
245000	77	200
#8 9		
135000	20	38
145000	27	48
155000	30	75
175000	46	80
195000	56	110
215000	78	160
225000	92	210
235000	93	229
245000	131	332
